2015-11-09 12:10:53 ('25.29.32.4', 8475) (c) Markus
2015-11-09 12:11:49 ('25.29.32.4', 8475) (p) Markus:  hah
2015-11-09 12:11:49 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:26 ('25.29.32.4', 8475) (p) Markus:  are you there
2015-11-09 12:12:29 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:30 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:31 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:32 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:33 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:33 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:34 ('25.29.32.4', 8475) (p) Markus:  
2015-11-09 12:12:54 ('25.29.32.4', 8475) (p) Markus:  Connect to Edgar-PC
2015-11-09 12:13:04 ('25.29.32.4', 8475) (p) Markus:  I beg you, Python 3
2015-11-09 12:13:14 ('25.29.32.4', 8475) (d) Markus
