2015-11-09 20:57:36 ('25.89.176.35', 8312) (c) alsmkdasd
2015-11-09 20:57:43 ('25.89.176.35', 8312) (p) alsmkdasd:  ewarfsyht
2015-11-09 20:57:51 ('25.89.176.35', 8312) (p) alsmkdasd:  lnn.
2015-11-09 20:58:00 ('25.36.128.0', 8458) (c) alsmkdasd
2015-11-09 20:58:05 ('25.36.128.0', 8458) (p) alsmkdasd:  Mis us nimi on?
2015-11-09 20:58:08 ('25.36.128.0', 8458) (p) alsmkdasd:  ???
2015-11-09 20:58:10 ('25.36.128.0', 8458) (p) alsmkdasd:  ah?
2015-11-09 20:58:12 ('25.36.128.0', 8458) (p) alsmkdasd:  Mida?
2015-11-09 20:58:16 ('25.36.128.0', 8458) (p) alsmkdasd:  see on nii äge
2015-11-09 21:00:07 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:11 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:21 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:22 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:23 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:23 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:24 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:24 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:24 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:00:25 ('25.36.128.0', 8458) (p) alsmkdasd:  siodfgjs0difgm
2015-11-09 21:00:27 ('25.36.128.0', 8458) (p) alsmkdasd:  sdifgjsdiomfg
2015-11-09 21:00:28 ('25.36.128.0', 8458) (p) alsmkdasd:  sdpfigjsdpfgio
2015-11-09 21:00:30 ('25.36.128.0', 8458) (p) alsmkdasd:  ???
2015-11-09 21:01:08 ('25.36.128.0', 8458) (p) alsmkdasd:  lal?
2015-11-09 21:01:13 ('25.36.128.0', 8458) (p) alsmkdasd:  asd
2015-11-09 21:01:22 ('25.36.128.0', 8458) (d) alsmkdasd
